amount,change,price,time,type,volume,xtim
31920.0,--,26.6,2016-11-18 14:35:27,sell,12.0,2016-11-18 14:35:27
7980.0,-0.02,26.6,2016-11-18 14:35:09,sell,3.0,2016-11-18 14:35:09
7986.0,0.02,26.62,2016-11-18 14:35:06,buy,3.0,2016-11-18 14:35:06
26600.0,--,26.6,2016-11-18 14:34:54,sell,10.0,2016-11-18 14:34:54
66500.0,--,26.6,2016-11-18 14:34:45,sell,25.0,2016-11-18 14:34:45
18620.0,--,26.6,2016-11-18 14:34:36,sell,7.0,2016-11-18 14:34:36
2660.0,--,26.6,2016-11-18 14:34:24,sell,1.0,2016-11-18 14:34:24
26600.0,--,26.6,2016-11-18 14:34:09,sell,10.0,2016-11-18 14:34:09
84162.0,0.01,26.6,2016-11-18 14:34:03,buy,31.0,2016-11-18 14:34:03
53180.0,--,26.59,2016-11-18 14:34:00,sell,20.0,2016-11-18 14:34:00
29249.0,-0.01,26.59,2016-11-18 14:33:54,sell,11.0,2016-11-18 14:33:54
5320.0,0.01,26.6,2016-11-18 14:33:51,buy,2.0,2016-11-18 14:33:51
26590.0,-0.01,26.59,2016-11-18 14:33:42,sell,10.0,2016-11-18 14:33:42
402617.0,-0.01,26.6,2016-11-18 14:33:36,sell,151.0,2016-11-18 14:33:36
268761.0,-0.02,26.61,2016-11-18 14:33:24,sell,101.0,2016-11-18 14:33:24
159780.0,--,26.63,2016-11-18 14:33:21,buy,60.0,2016-11-18 14:33:21
5326.0,0.01,26.63,2016-11-18 14:33:18,buy,2.0,2016-11-18 14:33:18
2662.0,--,26.62,2016-11-18 14:33:15,sell,1.0,2016-11-18 14:33:15
5324.0,-0.01,26.62,2016-11-18 14:33:12,sell,2.0,2016-11-18 14:33:12
3408640.0,--,26.63,2016-11-18 14:33:09,sell,1280.0,2016-11-18 14:33:09
2663.0,-0.01,26.63,2016-11-18 14:33:06,sell,1.0,2016-11-18 14:33:06
23976.0,--,26.64,2016-11-18 14:33:00,sell,9.0,2016-11-18 14:33:00
5328.0,-0.01,26.64,2016-11-18 14:32:51,sell,2.0,2016-11-18 14:32:51
